d1(cm),d_real(cm),d_mea(cm),d2(cm),d_real(cm),d_mea(cm),d3(cm),d_real(cm),d_mea(cm),d4(cm),d_real(cm),d_mea(cm),d5(cm),d_real(cm),d_mea(cm),d6(cm),d_real(cm),d_mea(cm),d7(cm),d_real(cm),d_mea(cm)
55.1,,,92.7,,,197.9,,,299.5,,,507.3,,,1036.6,,,1546.4,,
54.7,,,94.4,,,199.1,,,301.9,,,512.4,,,1036.1,,,1541.8,,
52.6,,,96.1,,,199.4,,,304.4,,,528.9,,,1044.9,,,1547.6,,
51.8,,,93.8,,,199,,,302.2,,,529.8,,,1039,,,1547.6,,
49.2,,,98.3,,,199.2,,,300.4,,,511.5,,,1035.6,,,1549.4,,
57.1,,,95.4,,,193.5,,,305.7,,,514.1,,,1039,,,1539.8,,
52.7,,,93.4,,,198,,,302.4,,,551,,,1039.3,,,1538,,
51.7,,,97.2,,,195.7,,,302.4,,,509.8,,,1034.3,,,1539.2,,
56.3,,,95.9,,,200,,,302.8,,,518,,,1038.8,,,1543.9,,
48,,,93.4,,,198.2,,,299.5,,,507.4,,,1037.2,,,1538.4,,
60.4,,,100.6,,,200.9,,,298.4,,,522.3,,,1041.4,,,1533.7,,
48.6,,,98.1,,,197.3,,,305.3,,,523.4,,,1072.6,,,1538.8,,
56.3,,,96.1,,,195.7,,,301.4,,,521,,,1043.5,,,1537.3,,
59.3,,,96.1,,,199,,,298.3,,,509.3,,,1040.1,,,1540,,
53.3,,,100.9,,,194.7,,,302.4,,,571.9,,,1042.5,,,1544.5,,
55.9,,,96.5,,,196.9,,,301.9,,,511.3,,,1036.1,,,1545.8,,
50.9,,,95.9,,,198.8,,,301.4,,,517.1,,,1035.2,,,1551.8,,
50.1,,,90.4,,,199.2,,,303.8,,,508.9,,,1041.2,,,1545.7,,
48.1,,,97.4,,,193.7,,,302.7,,,514.8,,,1038.8,,,1548.1,,
48.6,,,99.9,,,198.8,,,303.9,,,512.9,,,1042.1,,,1546.6,,
49,,,99.4,,,197.3,,,301.9,,,507.5,,,1036,,,1541.8,,
53.6,,,100.3,,,202.4,,,301.1,,,500.6,,,1039.1,,,1539.6,,
58.2,,,100.4,,,203.5,,,301.9,,,518.7,,,1066.7,,,1542.2,,
51.1,,,100.6,,,197.9,,,306.7,,,516,,,1043.3,,,1545.5,,
55,,,94.1,,,199.3,,,300.6,,,511.8,,,1034.2,,,1541,,
52.9,,,94,,,200.3,,,299.1,,,519.9,,,1033.9,,,1538.7,,
55.1,,,90.8,,,199.8,,,303.4,,,512.9,,,1041.3,,,1545.6,,
44.9,,,95,,,196.4,,,303.5,,,504.1,,,1040.4,,,1551.4,,
52.5,,,93.4,,,198.7,,,301.7,,,536.2,,,1035.3,,,1542.3,,
54.3,,,93.9,,,201.6,,,305.3,,,521.9,,,1032.8,,,1548.1,,
50.7,,,93.7,,,197.7,,,305.7,,,521.1,,,1028.7,,,1528.9,,
55.1,,,97.5,,,197.2,,,304.1,,,511.9,,,1035.4,,,1541.1,,
47.1,,,96.5,,,198.7,,,306.9,,,515.4,,,1037.3,,,1546.3,,
56.9,,,94.3,,,195.9,,,303.3,,,514.2,,,1036.1,,,1548.9,,
48.1,,,93.7,,,197.6,,,299.9,,,514.1,,,1068.4,,,1546,,
45,,,99.9,,,196.9,,,304.3,,,519.4,,,1035.5,,,1538.4,,
47.3,,,97.9,,,200.6,,,303.2,,,518.7,,,1028.4,,,1543.5,,
57.1,,,101.4,,,200.3,,,298.7,,,514.9,,,1044.1,,,1544.7,,
54.1,,,98.9,,,200,,,304.9,,,509.7,,,1042.2,,,1540.1,,
51.5,,,97.5,,,198.6,,,303,,,513.6,,,1047.9,,,1546.5,,
56.9,,,98.4,,,200.1,,,303.7,,,515.6,,,1064.6,,,1538.9,,
56.1,,,100.4,,,198.3,,,302.4,,,509.2,,,1043.1,,,1542.3,,
53.3,,,101.4,,,198.9,,,302,,,509.3,,,1035.5,,,1545.1,,
55.8,,,100.9,,,199.9,,,303.9,,,506.9,,,1041.7,,,1543.8,,
54.5,,,99,,,197.9,,,302.7,,,505.5,,,1041.6,,,1542.3,,
58,,,99,,,196.1,,,305.1,,,512.7,,,1051,,,1542.5,,
