d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),,52.7,53.13290793
270.9,,,780.8,,,1108.2,,,1101.8,,,,,,,57.5,
298.8,,,809.3,,,1029.8,,,1131.3,,,,,,,49.1,
289,,,740.5,,,1135.5,,,1136.8,,,,,,,55.1,
286.5,,,735.1,,,1074.2,,,1134.3,,,,,,,48.1,
277.2,,,796.1,,,1025.6,,,1157.5,,,,,,,53.8,
269.9,,,792.6,,,972.2,,,1138.9,,,,,,,56.9,
254,,,828.7,,,980.4,,,1109.6,,,,,,,51.6,
254.7,,,819.9,,,,,,1131.1,,,,,,,50.3,
280.6,,,829.5,,,,,,1151.7,,,,,,,53.7,
275.3,,,700,,,,,,1158.3,,,,,,,48.5,
256.5,,,822.6,,,,,,1129.6,,,,,,,56.2,
229.4,,,818.7,,,,,,1148.1,,,,,,,55.2,
249.4,,,573.3,,,,,,1179.5,,,,,,,56.9,
295.1,,,912,,,,,,1149.9,,,,,,,50.4,
280.8,,,752,,,,,,1113.3,,,,,,,56.7,
316,,,878,,,,,,1161.7,,,,,,,55.7,
305.5,,,838.8,,,,,,1137.1,,,,,,,51.7,
315.1,,,,,,,,,1126.8,,,,,,,49.2,
286.7,,,,,,,,,1095.4,,,,,,,52.6,
279.9,,,,,,,,,1190.6,,,,,,,52.2,
243.4,,,,,,,,,1144.7,,,,,,,55.8,
341.8,,,,,,,,,1102.9,,,,,,,59,
261.7,,,,,,,,,1089.6,,,,,,,47.5,
195.3,,,,,,,,,1165.1,,,,,,,50.3,
210.6,,,,,,,,,1260.3,,,,,,,52.7,
305.1,,,,,,,,,1152.8,,,,,,,46.2,
289.9,,,,,,,,,1149,,,,,,,56.4,
257.2,,,,,,,,,1096.8,,,,,,,52,
236.9,,,,,,,,,1114.6,,,,,,,49.4,
240.2,,,,,,,,,1157.7,,,,,,,51.4,
252.7,,,,,,,,,1101.9,,,,,,,50.8,
244.4,,,,,,,,,1090.2,,,,,,,57.7,
226.7,,,,,,,,,1149.1,,,,,,,48.2,
251.8,,,,,,,,,1106,,,,,,,48.5,
226.9,,,,,,,,,1177.5,,,,,,,55.6,
,,,,,,,,,,,,,,,,52.4,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,51.2,
,,,,,,,,,,,,,,,,51.2,
,,,,,,,,,,,,,,,,55.3,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,51.2,
,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,55.7,
,,,,,,,,,,,,,,,,53.5,
,,,,,,,,,,,,,,,,47.4,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,50.3,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,52.7,
,,,,,,,,,,,,,,,,54,
,,,,,,,,,,,,,,,,47.7,
,,,,,,,,,,,,,,,,54,
,,,,,,,,,,,,,,,,47.6,
,,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,,51.7,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,50.4,
,,,,,,,,,,,,,,,,55.4,
,,,,,,,,,,,,,,,,56.7,
,,,,,,,,,,,,,,,,56.9,
,,,,,,,,,,,,,,,,55.4,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,50.6,
,,,,,,,,,,,,,,,,49.7,
,,,,,,,,,,,,,,,,51.1,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,47.7,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,60.4,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,56.1,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,55.8,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,58.7,
,,,,,,,,,,,,,,,,48.5,
,,,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,,,50.4,
,,,,,,,,,,,,,,,,55.7,
,,,,,,,,,,,,,,,,61,
,,,,,,,,,,,,,,,,43.9,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,49.2,
,,,,,,,,,,,,,,,,47.2,
