NLoS,d_real(cm),d_mea(cm),NLoS,d_real(cm),d_mea(cm),LoS,LoS,LoS
114.2,,,545.6,,,95,514,516.7
109.9,,,538.2,,,94.5,515.5,511.3
108.1,,,534.7,,,94.7,516.3,513.3
110.8,,,535.1,,,92.7,508.9,523.6
109.2,,,533.7,,,100.7,520,516.7
109.7,,,537.4,,,95.3,516.1,525.4
105.6,,,538.2,,,97.1,519.2,519.6
110.6,,,541.1,,,98,520,513.5
111.8,,,541.4,,,96.1,516.7,516.3
114.7,,,548.1,,,97.2,526.9,515.1
109.3,,,537.4,,,94.1,522.1,513.1
112.7,,,538.5,,,95.9,520.6,514.5
115,,,534.6,,,96.2,521.3,518.3
108.5,,,541.1,,,96.6,519.6,520.7
111.6,,,539.2,,,95.5,521.4,508.6
112.4,,,533.1,,,95.2,528.2,517.9
106.9,,,537.2,,,95.6,524.3,512.6
109.5,,,546.2,,,96.3,518.6,514.4
109.9,,,536.5,,,96.6,517.8,515.5
112.7,,,539.6,,,92.3,512.1,512.9
114.5,,,533.6,,,96.5,514.3,517.6
115.5,,,542.7,,,96,516.4,513.7
109,,,541.3,,,95.2,520.5,512.4
112.2,,,539.4,,,93.9,522.8,512.5
109,,,530.7,,,95.1,517.3,517.1
115.6,,,534.2,,,94,528.2,514.5
111.5,,,535.6,,,97.7,524.2,511.7
112.6,,,533.5,,,95.3,512.1,516.5
115.3,,,535.5,,,91.2,558.8,515.4
109.2,,,526,,,95.1,516.9,514.3
115,,,534.3,,,95,511.7,512.7
110.1,,,517.2,,,95.7,512.9,510.5
108.9,,,528.4,,,97.5,509,508.7
114.6,,,529.6,,,95.7,528.8,507.6
112.1,,,523.7,,,95.1,515.8,514.1
113.2,,,532.9,,,96.5,510.6,510.7
114.8,,,541.3,,,95,517.1,513.3
111.7,,,541.2,,,94.7,514.6,512.1
113.2,,,536.2,,,96.5,514.6,511.2
111.7,,,536.8,,,95.5,518,522.3
106.9,,,543.5,,,95,582.7,519.3
109.5,,,546.8,,,101.7,511,515.5
110,,,546.6,,,96,510.2,517
109.3,,,544.5,,,98.6,515.3,512.9
112.8,,,545.7,,,93.1,519.6,519.1
110.5,,,547.1,,,96.1,516.9,509.9
113.3,,,555.5,,,92.9,520.9,511
109.5,,,545,,,95.8,577,514.4
112.3,,,547.2,,,94.1,506.6,511.7
110.7,,,546.4,,,94.4,517.3,516
114.4,,,547.4,,,96,510.4,519.8
112.6,,,548.2,,,92.6,510.5,521.8
113.6,,,548.5,,,94,519.1,517.1
113.8,,,553.3,,,91.1,511.6,516.6
116.1,,,550.5,,,95.2,514,515.6
111.1,,,549.2,,,94.5,516.2,512.2
112.1,,,554.1,,,94.7,576.1,516.5
116.8,,,553.9,,,99.5,516.4,513.3
113.2,,,546.9,,,97.9,511.3,511.1
111.6,,,545.8,,,94.5,514.3,516.5
111.3,,,552.8,,,95.8,519.9,517.2
112.4,,,549.8,,,97.5,516.3,513
116.8,,,552.2,,,95.1,514.3,517.5
113.3,,,551.7,,,97.5,522.3,513.2
115.1,,,552.4,,,94.7,516.5,512.9
114.1,,,548.1,,,93.4,509.4,516
115.4,,,555.5,,,95.1,516.3,515
114.2,,,545.4,,,96.4,579.9,517.7
112.1,,,547.8,,,92.5,517.6,507.6
112.2,,,539.9,,,93.5,520.4,519.2
114.5,,,551.6,,,87.3,523.1,515.5
114.8,,,545.2,,,97.2,522,508.9
113.4,,,548.2,,,93.9,515.1,517.1
116.1,,,543,,,95.7,513.6,511.9
111.1,,,545.9,,,95.5,529,520.9
114,,,556.1,,,98.6,514.5,510.5
116.1,,,544.1,,,96.2,517.3,516.7
115.5,,,544.2,,,96.1,519.8,509.5
