x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,,x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,Sai_lech_tb_x1y1,Sai_lech_tb_x2y2
95.8,514.0833,,,209.4056634,1036.069348,,,,0.96,5.14,,,2.09,10.36,,,0.15,0.37
90.6,496.423504,,,211.9344357,1013.147866,,,,0.91,4.96,,,2.12,10.13,,,0.10,0.18
99.9,516.9245569,,,210.7700798,1028.157826,,,,1.00,5.17,,,2.11,10.28,,,0.17,0.30
106.9,494.1269305,,,217.6943541,1029.621801,,,,1.07,4.94,,,2.18,10.30,,,0.09,0.35
111.4,501.3325097,,,210.8155161,1014.023737,,,,1.11,5.01,,,2.11,10.14,,,0.11,0.18
108.3,500.0564567,,,211.9405165,1023.515909,,,,1.08,5.00,,,2.12,10.24,,,0.08,0.26
111.3,506.2953149,,,223.3307214,1032.612964,,,,1.11,5.06,,,2.23,10.33,,,0.13,0.40
111.8,509.7424948,,,214.7868494,1026.773615,,,,1.12,5.10,,,2.15,10.27,,,0.15,0.31
92.4,494.5438342,,,212.2184287,1028.944076,,,,0.92,4.95,,,2.12,10.29,,,0.09,0.31
96.1,516.7234139,,,209.6848026,1028.569066,,,,0.96,5.17,,,2.10,10.29,,,0.17,0.30
111.9,514.5028078,,,217.7746479,1024.599058,,,,1.12,5.15,,,2.18,10.25,,,0.19,0.30
94.7,494.4499217,,,206.5411789,1033.644365,,,,0.95,4.94,,,2.07,10.34,,,0.08,0.34
97,504.5346834,,,210.4623947,1025.868342,,,,0.97,5.05,,,2.10,10.26,,,0.05,0.28
88.8,523.7299474,,,213.0516146,1021.404385,,,,0.89,5.24,,,2.13,10.21,,,0.26,0.25
91.4,499.9894038,,,224.2281847,1013.159982,,,,0.91,5.00,,,2.24,10.13,,,0.09,0.28
100.1,520.0259031,,,228.0678346,1013.279645,,,,1.00,5.20,,,2.28,10.13,,,0.20,0.31
99,500.8826038,,,221.9766849,1019.034045,,,,0.99,5.01,,,2.22,10.19,,,0.01,0.29
106.8,505.2643866,,,223.0678161,1031.881247,,,,1.07,5.05,,,2.23,10.32,,,0.09,0.39
103.4,496.1358501,,,213.6441531,1022.588452,,,,1.03,4.96,,,2.14,10.23,,,0.05,0.26
88.9,494.3274882,,,210.0203985,1028.190839,,,,0.89,4.94,,,2.10,10.28,,,0.12,0.30
92,493.0762077,,,218.6718758,1017.840322,,,,0.92,4.93,,,2.19,10.18,,,0.11,0.26
104.1,497.7448087,,,223.1125424,1019.187005,,,,1.04,4.98,,,2.23,10.19,,,0.05,0.30
94,517.8178486,,,207.7976211,1034.142431,,,,0.94,5.18,,,2.08,10.34,,,0.19,0.35
96.6,499.2831744,,,224.571375,1031.74628,,,,0.97,4.99,,,2.25,10.32,,,0.03,0.40
90.7,510.9443815,,,222.4746846,1026.704738,,,,0.91,5.11,,,2.22,10.27,,,0.14,0.35
103.9,517.791628,,,214.6430049,1033.231329,,,,1.04,5.18,,,2.15,10.33,,,0.18,0.36
98.4,513.8266158,,,227.5137829,1015.095225,,,,0.98,5.14,,,2.28,10.15,,,0.14,0.31
110.3,497.0858134,,,207.031671,1022.83477,,,,1.10,4.97,,,2.07,10.23,,,0.11,0.24
98.1,497.66568,,,215.1705989,1012.809723,,,,0.98,4.98,,,2.15,10.13,,,0.03,0.20
95.3,498.7536954,,,211.9633888,1031.676529,,,,0.95,4.99,,,2.12,10.32,,,0.05,0.34
102.4,495.0423517,,,217.4125864,1024.289715,,,,1.02,4.95,,,2.17,10.24,,,0.06,0.30
102,514.7881907,,,208.8570838,1021.848842,,,,1.02,5.15,,,2.09,10.22,,,0.15,0.24
109,518.962003,,,227.7208867,1031.772942,,,,1.09,5.19,,,2.28,10.32,,,0.21,0.42
111.5,495.0015996,,,209.7017576,1029.972857,,,,1.12,4.95,,,2.10,10.30,,,0.13,0.32
104.8,501.017336,,,224.1129019,1017.624308,,,,1.05,5.01,,,2.24,10.18,,,0.05,0.30
95,510.8885872,,,208.0589059,1012.623041,,,,0.95,5.11,,,2.08,10.13,,,0.12,0.15
106.9,494.3145492,,,221.6752087,1037.166478,,,,1.07,4.94,,,2.22,10.37,,,0.09,0.43
96.4,517.3817633,,,210.369066,1024.302015,,,,0.96,5.17,,,2.10,10.24,,,0.18,0.26
99.1,522.5551663,,,226.6666518,1032.722909,,,,0.99,5.23,,,2.27,10.33,,,0.23,0.42
97,523.0772681,,,206.7709712,1013.125465,,,,0.97,5.23,,,2.07,10.13,,,0.23,0.15
88.4,520.7184244,,,212.3470927,1029.18143,,,,0.88,5.21,,,2.12,10.29,,,0.24,0.32
105.8,505.2109768,,,213.2017476,1024.190387,,,,1.06,5.05,,,2.13,10.24,,,0.08,0.28
98.8,502.6218757,,,215.7111356,1020.067302,,,,0.99,5.03,,,2.16,10.20,,,0.03,0.25
109.3,501.7759711,,,223.8921963,1025.886465,,,,1.09,5.02,,,2.24,10.26,,,0.09,0.35
110.1,494.6514198,,,215.5519017,1016.858255,,,,1.10,4.95,,,2.16,10.17,,,0.11,0.23
90.7,510.7532676,,,217.0716574,1023.850626,,,,0.91,5.11,,,2.17,10.24,,,0.14,0.29
94.5,519.1905874,,,211.5547724,1027.056189,,,,0.95,5.19,,,2.12,10.27,,,0.20,0.29
110.4,521.3551003,,,208.4085754,1030.201725,,,,1.10,5.21,,,2.08,10.30,,,0.24,0.31
94.1,499.2397444,,,219.465093,1031.031559,,,,0.94,4.99,,,2.19,10.31,,,0.06,0.37
